AsID,AsAlguseKpv,AsLopuKpv,AsKontakt,AsRegNumber,KdIDAsutuseLiik,AsLyhiNimi,AsPikkNimi,IAsIDLooja,LoodiKpv,IAsIDMuutja,MuudetiKpv,KustutatiKpv,AsMuuKeelesNimi,KdIDStaatus,AsIDYlemus,KdIDRiik,AsAsutuseAadress,AsInglise,AsSaksa,AsPrantsuse,AsAsutuseKood,AkpID
35,1999-07-13,,info@asutus34.ee,77000602,559,Kullamaa Osavalla Valitsus,Kullamaa Osavalla Valitsus,307.0,1992-12-27,,,,Muu keeles nimi,549,,,"Lääne maakond, Lääne-Nigula vald, Kullamaa küla, Vallamaja, 90701",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-6138,30
36,1984-07-01,,info@asutus35.ee,75033496,559,Kuusalu Vallavalitsus,Kuusalu Vallavalitsus,305.0,1982-10-26,,,,Muu keeles nimi,549,,,"Harju maakond, Kuusalu vald, Kiiu alevik, Mõisa tee 17, 74604",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-1931,492
37,1987-03-10,,info@asutus36.ee,75016013,559,Lasnamäe Linnaosa Valitsus,Lasnamäe Linnaosa Valitsus,211.0,1980-10-07,,,,Muu keeles nimi,549,,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Pallasti tn 54, 11413",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-7615,62
38,2002-02-01,,info@asutus37.ee,75013457,560,Loksa Linnavalitsus,Loksa Linnavalitsus,313.0,1980-11-21,,,,Muu keeles nimi,549,,,"Harju maakond, Loksa linn, Tallinna tn 45, 74806",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-9565,162
39,2003-05-24,,info@asutus38.ee,75003476,559,Luunja Vallavalitsus,Luunja Vallavalitsus,28.0,1994-02-03,278.0,2011-11-05,,Muu keeles nimi,549,,,"Tartu maakond, Luunja vald, Luunja alevik, Puiestee tn 14, 62222",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-5915,235
40,2008-05-13,,info@asutus39.ee,77000200,559,Lääne-Harju Vallavalitsus,Lääne-Harju Vallavalitsus,91.0,1983-04-03,334.0,2011-02-12,,Muu keeles nimi,549,,,"Harju maakond, Lääne-Harju vald, Paldiski linn, Rae tn 38, 76806",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-2200,276
41,1999-02-14,,info@asutus40.ee,80191267,559,Läänemaa Omavalitsuste Liit,Läänemaa Omavalitsuste Liit,63.0,1982-12-21,,,,Muu keeles nimi,549,,,"Lääne maakond, Haapsalu linn, Haapsalu linn, Lihula mnt 12, 90507",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-5002,190
42,2005-07-26,2024-04-07,info@asutus41.ee,75038598,559,Lääne-Nigula Vallavalitsus,Lääne-Nigula Vallavalitsus,203.0,2004-05-14,,,,Muu keeles nimi,549,,,"Lääne maakond, Lääne-Nigula vald, Taebla alevik, Haapsalu mnt 6, 90801",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-5905,478
43,1989-04-17,,info@asutus42.ee,77000298,559,Lääneranna Vallavalitsus,Lääneranna Vallavalitsus,62.0,1981-07-04,236.0,2021-06-01,,Muu keeles nimi,549,,,"Pärnu maakond, Lääneranna vald, Lihula linn, Jaama tn 1, 90302",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-3546,140
44,2005-04-11,,info@asutus43.ee,80197361,560,Lääne-Viru Omavalitsuste Liit,Lääne-Viru Omavalitsuste Liit,211.0,1995-05-19,83.0,2023-10-30,,Muu keeles nimi,549,,,"Lääne-Viru maakond, Rakvere linn, F. R. Kreutzwaldi tn 5, 44314",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-9280,251
45,2002-07-12,,info@asutus44.ee,77000223,560,Lüganuse Vallavalitsus,Lüganuse Vallavalitsus,217.0,1982-04-12,253.0,2001-04-11,,Muu keeles nimi,549,,,"Ida-Viru maakond, Lüganuse vald, Kiviõli linn, Keskpuiestee 20, 43199",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-1722,2
46,2009-12-03,,info@asutus45.ee,75011470,559,Maardu Linnavalitsus,Maardu Linnavalitsus,336.0,2008-07-30,,,,Muu keeles nimi,549,,,"Harju maakond, Maardu linn, Kallasmaa tn 1, 74111",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-8239,283
47,2018-05-15,,info@asutus46.ee,16080432,559,Majavalitsus UÜ,Majavalitsus UÜ,182.0,1985-01-06,299.0,2024-08-17,,Muu keeles nimi,549,,,"Tartu maakond, Tartu linn, Tartu linn, Teelehe tn 8, 50411",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-9938,19
48,2013-02-14,,info@asutus47.ee,77000619,560,Martna Osavalla Valitsus,Martna Osavalla Valitsus,168.0,1986-08-23,88.0,1988-07-08,,Muu keeles nimi,549,,,"Lääne maakond, Lääne-Nigula vald, Martna küla, Vallamaja, 90601",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-6974,461
49,1983-07-31,,info@asutus48.ee,75018710,559,Muhu Vallavalitsus,Muhu Vallavalitsus,327.0,1981-03-06,,,,Muu keeles nimi,549,,,"Saare maakond, Muhu vald, Liiva küla, Keskuse, 94701",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-6794,400
50,2016-06-16,,info@asutus49.ee,77000453,559,Mulgi Vallavalitsus,Mulgi Vallavalitsus,190.0,2013-08-14,136.0,2018-12-05,,Muu keeles nimi,549,,,"Viljandi maakond, Mulgi vald, Abja-Paluoja linn, Pärnu mnt 30, 69403",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-3900,452
51,2016-12-27,2025-03-31,info@asutus50.ee,75014267,559,Mustamäe Linnaosa Valitsus,Mustamäe Linnaosa Valitsus,95.0,1994-11-25,,,,Muu keeles nimi,549,,,"Harju maakond, Tallinn, Mustamäe linnaosa, E. Vilde tee 118, 12614",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-5371,82
52,1989-09-12,,info@asutus51.ee,77000364,559,Mustvee Vallavalitsus,Mustvee Vallavalitsus,12.0,1980-06-07,,,,Muu keeles nimi,549,,,"Jõgeva maakond, Mustvee vald, Mustvee linn, Tartu tn 28, 49603",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-4269,419
53,2021-04-18,,info@asutus52.ee,77000447,559,Märjamaa Vallavalitsus,Märjamaa Vallavalitsus,28.0,2016-10-21,,,,Muu keeles nimi,549,,,"Rapla maakond, Märjamaa vald, Märjamaa alev, Tehnika tn 11, 78304",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-4652,13
54,1997-04-29,,info@asutus53.ee,77000499,560,Narva-Jõesuu Linnavalitsus,Narva-Jõesuu Linnavalitsus,168.0,1986-04-01,,,,Muu keeles nimi,549,,,"Ida-Viru maakond, Narva-Jõesuu linn, Narva-Jõesuu linn, J. Poska tn 26, 29023",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-6753,329
55,2015-11-09,,info@asutus54.ee,75029820,559,Narva Linnavalitsuse Arhitektuuri- ja Linnaplaneerimise Amet,Narva Linnavalitsuse Arhitektuuri- ja Linnaplaneerimise Amet,322.0,2004-01-20,226.0,2004-09-02,,Muu keeles nimi,549,,,"Ida-Viru maakond, Narva linn, Peetri plats 5, 20308",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-5279,92
56,2003-10-25,2017-03-12,info@asutus55.ee,75024260,559,Narva Linnavalitsuse Kultuuriosakond,Narva Linnavalitsuse Kultuuriosakond,52.0,1999-06-29,10.0,2013-07-24,,Muu keeles nimi,549,,,"Ida-Viru maakond, Narva linn, Peetri plats 1, 20308",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-7311,461
57,1997-01-19,,info@asutus56.ee,75039729,559,Narva Linnavalitsuse Linnamajandusamet,Narva Linnavalitsuse Linnamajandusamet,217.0,1995-11-24,97.0,2019-03-21,,Muu keeles nimi,549,,,"Ida-Viru maakond, Narva linn, Peetri plats 3, 20308",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-6967,221
58,1986-04-11,,info@asutus57.ee,75008427,559,Narva Linnavalitsuse Rahandusamet,Narva Linnavalitsuse Rahandusamet,307.0,1983-09-14,,,,Muu keeles nimi,549,,,"Ida-Viru maakond, Narva linn, Peetri plats 5, 20308",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-5920,260
59,2007-09-30,,info@asutus58.ee,77000594,559,Noarootsi Osavalla Valitsus,Noarootsi Osavalla Valitsus,51.0,1994-08-19,339.0,2007-11-23,,Muu keeles nimi,549,,,"Lääne maakond, Lääne-Nigula vald, Pürksi küla / Birkas, Pürksi keskus 9, 91201",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-4143,216
60,2014-01-05,,info@asutus59.ee,75014882,560,Nõmme Linnaosa Valitsus,Nõmme Linnaosa Valitsus,342.0,1987-10-22,,,,Muu keeles nimi,549,,,"Harju maakond, Tallinn, Nõmme linnaosa, Valdeku tn 13, 11621",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-7653,281
61,1980-01-14,,info@asutus60.ee,75007942,560,Nõo vallavalitsus,Nõo vallavalitsus,20.0,1980-01-04,86.0,2008-12-01,,Muu keeles nimi,549,,,"Tartu maakond, Nõo vald, Nõo alevik, Voika tn 23, 61601",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-8238,227
62,1999-03-04,,info@asutus61.ee,77000625,559,Nõva Osavalla Valitsus,Nõva Osavalla Valitsus,228.0,1997-10-20,,,,Muu keeles nimi,549,,,"Lääne maakond, Lääne-Nigula vald, Nõva küla, Kooli, 91101",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-2389,146
63,2010-01-26,2015-05-04,info@asutus62.ee,77001636,559,Oru Osavalla Valitsus,Oru Osavalla Valitsus,292.0,1993-12-03,264.0,2002-11-08,,Muu keeles nimi,549,,,"Lääne maakond, Lääne-Nigula vald, Linnamäe küla, Hansuküla tee 2/1, 91001",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-5011,244
64,1986-07-14,,info@asutus63.ee,75001566,560,Otepää Vallavalitsus,Otepää Vallavalitsus,96.0,1986-06-15,73.0,2017-09-09,,Muu keeles nimi,549,,,"Valga maakond, Otepää vald, Otepää linn, Lipuväljak 13, 67405",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-9099,205
65,2001-11-20,2002-02-18,info@asutus64.ee,77000246,559,Paide Linnavalitsus,Paide Linnavalitsus,183.0,2000-01-08,,,,Muu keeles nimi,549,,,"Järva maakond, Paide linn, Paide linn, Keskväljak 14, 72711",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-7965,113
66,1995-10-12,,info@asutus65.ee,77001665,559,Palivere Osavalla Valitsus,Palivere Osavalla Valitsus,37.0,1995-08-10,,,,Muu keeles nimi,549,,,"Lääne maakond, Lääne-Nigula vald, Palivere alevik, Raba tn 2, 90802",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-5082,470
67,1990-11-20,,info@asutus66.ee,80635273,560,Mittetulundusühing Paunvere Laadavalitsus,Mittetulundusühing Paunvere Laadavalitsus,79.0,1988-12-26,122.0,2012-10-23,,Muu keeles nimi,549,,,"Jõgeva maakond, Jõgeva vald, Ronivere küla, Heki, 49217",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-8251,314
68,2025-04-14,,info@asutus67.ee,77000192,560,Peipsiääre Vallavalitsus,Peipsiääre Vallavalitsus,106.0,2020-01-02,,,,Muu keeles nimi,549,,,"Tartu maakond, Peipsiääre vald, Alatskivi alevik, Tartu mnt 4, 60201",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-8373,133
69,2002-03-07,,info@asutus68.ee,75014250,560,Pirita Linnaosa Valitsus,Pirita Linnaosa Valitsus,332.0,1986-03-21,,,,Muu keeles nimi,549,,,"Harju maakond, Tallinn, Pirita linnaosa, Kloostri tee 6, 11911",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-4919,141
70,2019-06-18,2022-08-31,info@asutus69.ee,77000234,559,Põhja-Pärnumaa Vallavalitsus,Põhja-Pärnumaa Vallavalitsus,71.0,1990-07-08,82.0,2004-11-09,,Muu keeles nimi,549,,,"Pärnu maakond, Põhja-Pärnumaa vald, Vändra alev, Pärnu-Paide mnt 2, 87701",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-3267,78
71,2000-09-29,,info@asutus70.ee,77000463,559,Põhja-Sakala Vallavalitsus,Põhja-Sakala Vallavalitsus,241.0,1983-06-05,,,,Muu keeles nimi,549,,,"Viljandi maakond, Põhja-Sakala vald, Suure-Jaani linn, Lembitu pst 42, 71502",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-7797,209
72,2009-09-07,,info@asutus71.ee,75017745,560,Põhja-Tallinna Valitsus,Põhja-Tallinna Valitsus,90.0,1998-08-26,18.0,2017-06-30,,Muu keeles nimi,549,,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Kari tn 13, 10311",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-1320,439
73,2014-02-15,,info@asutus72.ee,77000358,560,Põltsamaa Vallavalitsus,Põltsamaa Vallavalitsus,82.0,1995-10-12,197.0,2013-04-09,,Muu keeles nimi,549,,,"Jõgeva maakond, Põltsamaa vald, Põltsamaa linn, Lossi tn 9, 48104",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-9818,383
74,1999-10-14,,info@asutus73.ee,80190931,560,Põlvamaa Omavalitsuste Liit,Põlvamaa Omavalitsuste Liit,297.0,1986-02-13,296.0,1987-06-03,,Muu keeles nimi,549,,,"Põlva maakond, Põlva vald, Põlva linn, Kesk tn 20, 63308",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-6507,343
75,2016-04-09,,info@asutus74.ee,75038581,559,Põlva Vallavalitsus,Põlva Vallavalitsus,19.0,2000-12-18,,,,Muu keeles nimi,549,,,"Põlva maakond, Põlva vald, Põlva linn, Kesk tn 15, 63308",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-7455,304
76,1982-06-07,2001-08-28,info@asutus75.ee,75000064,560,Pärnu Linnavalitsus,Pärnu Linnavalitsus,134.0,1980-05-18,,,,Muu keeles nimi,549,,,"Pärnu maakond, Pärnu linn, Pärnu linn, Suur-Sepa tn 16, 80098",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-7211,168
