AdrID,AkpIDTase0,AkpIDTase1,AkpIDTase2,AkpIDTase3,AkpIDTase4,AkpIDTase5,AkpIDTase6,AkpIDTase7,AkpIDTase8,AdrAadress,KdIDAdressiStaatus,AdrOige,AdrSihtnumber,AdrMajaNr,ADS_ADR_ID,ADS_ADR_TEKST,ADS_ADS_OID,ADS_ADR_MUUDETI,ADS_ORIG_TUNNUS,ADS_MUUD_OBJEKTID,ADS_KOODAADRESS,ADS_ADOB_ID,ADSILID,IAsIDLooja,LoodiKpv,IAsIDMuutja,MuudetiKpv,KustutatiKpv,AsID
2929672,,56,441.0,1556.0,,,5T9Y,,,"Lääne maakond, Lääne-Nigula vald, Einbi küla / Enby, Obuniidu",549,,62581,,,,ME02025891,,,,,8424645,,,,,,,
2725679,,60,663.0,,,02J8,,A5OE,,"Lääne-Viru maakond, Rakvere linn, Mäe tn 25a",549,,45093,25a,,,CU03456301,,,,,7979355,,,,,,,
3009917,,81,824.0,8529.0,,0SCY,,B3AE,,"Valga maakond, Tõrva vald, Tõrva linn, Kaarlimäe tn 34",549,,18675,34,,,ME00913345,,,,,8601213,,4698.0,2017-01-11 15:50:56,,,,39.0
2975726,,79,171.0,1418.0,,,2403,,,"Tartu maakond, Elva vald, Astuvere küla, Oja",549,,37653,,,,ME00941210,,,,,8515556,,6812.0,2017-01-11 12:40:20,,,,9.0
3341272,,50,486.0,2503.0,,,2OJ2,,,"Jõgeva maakond, Mustvee vald, Kaevussaare küla, Soosilla",549,,84341,,,,CU00049732,,,,,9368947,,672.0,2017-08-11 15:26:23,,,,24.0
2763741,,60,792.0,8140.0,,01ZE,,2QZ4,,"Lääne-Viru maakond, Tapa vald, Tapa linn, Roheline tn 3",549,,51245,3,,,ME00940685,,,,,10129594,,,,,,,
3311561,,71,317.0,8721.0,,0OFS,,8PZR,,"Rapla maakond, Kohila vald, Urge küla, Vaablase tn 2",549,,37869,2,,,CU00157133,,,,,9225754,,5282.0,2017-07-11 11:19:33,,,,5.0
2560295,,52,834.0,3854.0,,,1RGE,,,"Järva maakond, Türi vald, Kädva küla, Ojametsa",549,,95909,,,,CU00202819,,,,,7628445,,,,,,,
3046323,,68,624.0,6619.0,,0SUF,,B8D0,,"Pärnu maakond, Pärnu linn, Pärnu linn, Suur-Jõe tn 48",549,,75435,48,,,ME03103593,,,,,10426341,,,,,,,
3782170,,68,806.0,1510.0,,0KQ7,,,,"Pärnu maakond, Tori vald, Eametsa küla, Tihase tee",549,,61856,,,,LP00621603,,,,,11042553,,6800.0,2025-02-01 09:41:03,,,,47.0
3129399,,79,793.0,8151.0,,0SKD,,BNTB,J7UV,"Tartu maakond, Tartu linn, Tartu linn, Purde tn 27-424",549,,94259,27,,,ER03314879,,,,,8783288,,4232.0,2017-02-11 16:01:51,,,,4.0
3343698,,87,698.0,7321.0,,,1TCU,,,"Võru maakond, Rõuge vald, Sadramõtsa küla, Kodaniku",549,,70142,,,,CU03142552,,,,,9294967,,1030.0,2017-08-11 12:45:43,,,,10.0
3136551,,84,899.0,9073.0,,,7N3J,,,"Viljandi maakond, Viljandi vald, Vardja küla, Tammeõue",549,,28726,,,,EE01750174,,,,,8794755,,5414.0,2017-02-11 16:59:43,,,,39.0
3077600,,79,793.0,8151.0,,0SQP,,BHJJ,,"Tartu maakond, Tartu linn, Tartu linn, Supelranna tn 3",549,,44718,3,,,ME03053381,,,,,9751545,,,,,,,
3765628,,68,806.0,8120.0,,0A0L,,37WW,,"Pärnu maakond, Tori vald, Tammiste küla, Kummeli tn 5",549,,28301,5,,,CU00426595,,,,,11010242,,4470.0,2025-02-01 09:24:50,,,,35.0
3778887,,68,806.0,5417.0,,,3JIM,,,"Pärnu maakond, Tori vald, Niidu küla, Tõnisete",549,,42325,,,,CU00040293,,,,,11031621,,6348.0,2025-02-01 09:31:22,,,,46.0
443467,,37,446.0,,,00Z4,,1VZ2,,"Harju maakond, Maardu linn, Õunapuu pst 145",549,,83579,145,,,EE03232900,,,,,7449099,,,,,,,
3313926,,71,317.0,6710.0,,,1KL6,,,"Rapla maakond, Kohila vald, Rabivere küla, Sillaotsa",549,,80644,,,,CU03897669,,,,,10340668,,,,,,,
2165079,,37,784.0,387.0,,03WU,,1T5M,2T68,"Harju maakond, Tallinn, Lasnamäe linnaosa, Kivila tn 38-160",549,,44438,38,,,ER01300499,,,,,6599943,,,,,,,
2210458,,37,784.0,482.0,,05VT,,1T6X,AFMM,"Harju maakond, Tallinn, Mustamäe linnaosa, E. Vilde tee 117-8",549,,86622,117,,,ER01720607,,,,,6609208,,,,,,,
2124297,,37,784.0,339.0,,0625,,3IHS,,"Harju maakond, Tallinn, Kristiine linnaosa, Käo tn 73a",549,,66155,73a,,,EE00653252,,,,,10987065,,,,,,,
3619155,,45,130.0,3696.0,,0UZA,,CTCO,,"Ida-Viru maakond, Alutaguse vald, Kurtna küla, Sassi tee 6",549,,86484,6,,,EE02163131,,,,,10401606,,699.0,2021-01-11 13:20:06,,,,47.0
2622341,,74,714.0,1416.0,,0689,,1JVA,7XZM,"Saare maakond, Saaremaa vald, Aste alevik, Saare tn 5-7",549,,62350,5,,,ER01553164,,,,,7764217,,,,,,,
3339136,,50,486.0,1746.0,,,1QJ7,,,"Jõgeva maakond, Mustvee vald, Halliku küla, Valgmäe",549,,57447,,,,ME01078408,,,,,9809959,,187.0,2019-11-07 12:21:32,,,,44.0
3299095,,45,442.0,3194.0,,0T78,,BOEO,JBS8,"Ida-Viru maakond, Lüganuse vald, Kiviõli linn, Võidu tn 6-64",549,,38746,6,,,ER01670283,,,,,9206513,,1665.0,2017-06-11 18:35:57,,,,50.0
3748624,,52,567.0,7082.0,,0W3I,,DB6E,,"Järva maakond, Paide linn, Roosna-Alliku alevik, Metsa tee 4",549,,28131,4,,,EE00843512,,,,,10945497,,5409.0,2024-02-09 10:49:54,,,,13.0
3008475,,79,171.0,1586.0,,0SBD,,B2KT,,"Tartu maakond, Elva vald, Elva linn, J. Kärneri tn 1",549,,76784,1,,,CU00051922,,,,,8587316,,1688.0,2017-01-11 15:26:23,,,,11.0
3685717,,45,803.0,3265.0,,0VL8,,D2YU,,"Ida-Viru maakond, Toila vald, Kohtla-Nõmme alev, Väljaku tn 16",549,,74686,16,,,ME00676365,,,,,10670747,,2951.0,2023-03-04 10:05:01,,,,41.0
2913078,,39,205.0,3895.0,,0Q29,,9PUT,,"Hiiu maakond, Hiiumaa vald, Kärdla linn, Pikk tn 51",549,,21915,51,,,ME03243251,,,,,8341540,,,,,,,
2653071,,56,184.0,8769.0,,0K1R,,A2BK,FSHM,"Lääne maakond, Haapsalu linn, Uuemõisa alevik, Kaare tn 17/1-3",549,,16175,17/1,,,ER01542069,,,,,7842878,,,,,,,
3205817,,79,291.0,9605.0,,,61ZP,,,"Tartu maakond, Kastre vald, Võõpste küla, Kasesalu",549,,24371,,,,CU00262948,,,,,8956645,,2844.0,2017-03-11 15:41:28,,,,9.0
2197723,,37,784.0,339.0,,0JWK,,0TNN,8W7Y,"Harju maakond, Tallinn, Kristiine linnaosa, Rahumäe tee 6b-76",549,,30033,6b,,,ER01600259,,,,,6783518,,,,,,,
