IAdrID,AdrID,IsID,IAdrKehtibAlatesKpv,IAdrKehtibKuniKpv,KdIDAadressiLiik,KdIDAadressiStaatus,DokIDAlus,IAdrIDJargmine,DokIDLopuAlus,ADSILID,IAdrPiirang,IAsIDLooja,LoodiKpv,IAsIDMuutja,MuudetiKpv,KustutatiKpv,AsID
51,3662456,3325,1990-01-01 00:00:00.000000,2017-05-14 00:00:00.000000,557,550,51,52.0,52.0,,,34.0,1990-01-01,,,,2
52,3613962,3325,2017-05-15 00:00:00.000000,,554,549,52,,,,,245.0,2014-03-26,,,,41
53,3662456,4026,1990-01-01 00:00:00.000000,2017-05-14 00:00:00.000000,557,550,53,54.0,54.0,,,34.0,1990-01-01,,,,2
54,3613962,4026,2017-05-15 00:00:00.000000,,554,549,54,,,,,86.0,2002-07-20,309.0,2010-11-10 00:00:00.000000,,42
55,3662456,4857,1990-01-01 00:00:00.000000,2017-05-14 00:00:00.000000,557,550,55,56.0,56.0,,,34.0,1990-01-01,201.0,2018-09-09 00:00:00.000000,,2
56,3613962,4857,2017-05-15 00:00:00.000000,,554,549,56,,,,,129.0,2006-04-09,208.0,2014-07-05 00:00:00.000000,,42
57,2725099,14,2008-04-07 19:46:15.045953,2018-12-04 00:00:00.000000,557,550,57,58.0,58.0,,,306.0,1991-02-19,44.0,2019-04-11 00:00:00.000000,,18
58,3726653,14,2018-12-05 00:00:00.000000,2019-02-05 00:00:00.000000,557,550,58,59.0,59.0,,,340.0,2015-04-30,,,,37
59,2570072,14,2019-02-06 00:00:00.000000,,554,549,59,,,,,162.0,2014-11-11,166.0,2017-04-13 00:00:00.000000,,24
60,3659325,4782,1998-07-08 00:00:00.000000,,554,549,60,,,,,219.0,1995-01-26,,,,21
61,3659325,1392,1998-07-08 00:00:00.000000,,554,549,61,,,,,77.0,1992-08-12,,,,9
62,2725099,2392,2008-04-07 19:46:15.045953,2018-12-04 00:00:00.000000,557,550,62,63.0,63.0,,,13.0,1993-04-23,,,,24
63,3726653,2392,2018-12-05 00:00:00.000000,2019-02-05 00:00:00.000000,557,550,63,64.0,64.0,,,179.0,2002-06-09,316.0,2019-06-18 00:00:00.000000,,46
64,2570072,2392,2019-02-06 00:00:00.000000,,554,549,64,,,,,245.0,2014-03-26,159.0,2016-03-09 00:00:00.000000,,41
65,2725099,3911,2008-04-07 19:46:15.045953,2018-12-04 00:00:00.000000,557,550,65,66.0,66.0,,,151.0,1992-06-19,20.0,2018-12-19 00:00:00.000000,,25
66,3726653,3911,2018-12-05 00:00:00.000000,2019-02-05 00:00:00.000000,557,550,66,67.0,67.0,,,278.0,2006-01-26,106.0,2020-01-02 00:00:00.000000,,34
67,2570072,3911,2019-02-06 00:00:00.000000,,554,549,67,,,,,279.0,1990-09-16,248.0,1993-01-21 00:00:00.000000,,50
68,2725099,4204,2008-04-07 19:46:15.045953,2018-12-04 00:00:00.000000,557,550,68,69.0,69.0,,,190.0,1992-11-04,,,,42
69,3726653,4204,2018-12-05 00:00:00.000000,2019-02-05 00:00:00.000000,557,550,69,70.0,70.0,,,323.0,1992-11-07,,,,40
70,2570072,4204,2019-02-06 00:00:00.000000,,554,549,70,,,,,266.0,2013-01-08,,,,6
71,3177892,15,1991-12-13 00:00:00.000000,2005-06-23 00:00:00.000000,557,550,71,72.0,72.0,,,112.0,1990-03-04,,,,30
72,2427274,15,2005-06-24 00:00:00.000000,,554,549,72,,,,,313.0,1999-07-25,,,,22
73,3177892,1881,1991-12-13 00:00:00.000000,2005-06-23 00:00:00.000000,557,550,73,74.0,74.0,,,10.0,1991-05-18,201.0,2007-04-15 00:00:00.000000,,34
74,2427274,1881,2005-06-24 00:00:00.000000,,554,549,74,,,,,38.0,1997-03-23,,,,9
75,2116427,4023,2019-06-05 19:46:15.045953,,554,549,75,,,,,198.0,2007-02-01,,,,9
76,2116427,16,2019-06-05 19:46:15.045953,,554,549,76,,,,,79.0,2018-01-02,,,,11
77,2116427,1105,2019-06-05 19:46:15.045953,,554,549,77,,,,,247.0,2014-08-07,,,,16
78,2960248,2649,2003-03-26 00:00:00.000000,2014-07-27 00:00:00.000000,557,550,78,79.0,79.0,,,248.0,1995-09-20,47.0,2019-11-20 00:00:00.000000,,48
79,2254351,2649,2014-07-28 00:00:00.000000,2021-01-31 19:46:15.045953,557,550,79,,,,,213.0,1993-01-04,,,2021-01-05 00:00:00.000000,6
80,2960248,17,2003-03-26 00:00:00.000000,2014-07-27 00:00:00.000000,557,550,80,81.0,81.0,,,317.0,2002-05-14,301.0,2019-08-19 00:00:00.000000,,35
81,2254351,17,2014-07-28 00:00:00.000000,2021-01-31 19:46:15.045953,557,550,81,,,,,256.0,2000-04-01,,,,9
82,2960248,499,2003-03-26 00:00:00.000000,2014-07-27 00:00:00.000000,557,550,82,83.0,83.0,,,159.0,2000-03-04,,,,2
83,2254351,499,2014-07-28 00:00:00.000000,2021-01-31 19:46:15.045953,557,550,83,,,,,333.0,2004-01-08,,,,33
84,2960248,3223,2003-03-26 00:00:00.000000,2014-07-27 00:00:00.000000,557,550,84,85.0,85.0,,,49.0,1992-02-03,,,,6
85,2254351,3223,2014-07-28 00:00:00.000000,2021-01-31 19:46:15.045953,557,550,85,,,,,252.0,2006-09-19,,,,12
86,2603971,2337,1992-09-10 00:00:00.000000,2017-11-19 00:00:00.000000,557,550,86,87.0,87.0,,,220.0,1992-02-25,,,,24
87,2922988,2337,2017-11-20 00:00:00.000000,2025-04-28 19:46:15.045953,557,550,87,,,,,54.0,2014-12-22,,,2024-09-08 00:00:00.000000,35
88,3714689,4129,2001-04-28 19:46:15.045953,2020-01-21 00:00:00.000000,557,550,88,89.0,89.0,,,316.0,1997-11-15,,,2020-04-03 00:00:00.000000,6
89,2922988,4129,2020-01-22 00:00:00.000000,2025-04-28 19:46:15.045953,557,550,89,,,,,334.0,2007-12-24,,,2025-02-25 00:00:00.000000,5
90,3714689,18,2001-04-28 19:46:15.045953,2020-01-21 00:00:00.000000,557,550,90,91.0,91.0,,,191.0,1997-01-03,,,,22
91,2922988,18,2020-01-22 00:00:00.000000,2025-01-03 19:46:15.045953,557,550,91,,,,,98.0,1999-07-18,,,,22
92,3714689,295,2001-04-28 19:46:15.045953,2014-11-18 19:46:15.045953,557,550,92,,,,,116.0,2000-10-25,256.0,2019-01-01 19:46:15.045953,,8
93,2603971,1920,1992-09-10 00:00:00.000000,2017-11-19 00:00:00.000000,557,550,93,94.0,94.0,,,277.0,1990-04-28,,,,20
94,2922988,1920,2017-11-20 00:00:00.000000,2025-04-28 19:46:15.045953,557,550,94,,,,,166.0,2009-04-01,,,,34
95,2603971,3906,1992-09-10 00:00:00.000000,2017-11-19 00:00:00.000000,557,550,95,96.0,96.0,,,85.0,1992-04-29,59.0,2019-06-01 00:00:00.000000,,45
96,2922988,3906,2017-11-20 00:00:00.000000,2022-11-20 19:46:15.045953,557,550,96,,,,,209.0,2003-11-11,,,,7
97,3714689,4346,2001-04-28 19:46:15.045953,2020-01-21 00:00:00.000000,557,550,97,98.0,98.0,,,10.0,1990-09-09,118.0,2020-08-22 00:00:00.000000,2020-10-18 00:00:00.000000,34
98,2922988,4346,2020-01-22 00:00:00.000000,2025-04-28 19:46:15.045953,557,550,98,,,,,201.0,2010-05-08,,,,4
99,2638038,1043,2001-09-25 19:46:15.045953,2003-12-24 00:00:00.000000,557,550,99,100.0,100.0,,,86.0,2001-06-29,115.0,2010-05-01 00:00:00.000000,,42
100,3677921,1043,2003-12-25 00:00:00.000000,,554,549,100,,,,,326.0,2003-04-21,,,,16
101,3133465,3758,2001-09-25 19:46:15.045953,2013-06-16 19:46:15.045953,557,550,101,,,,,326.0,1990-03-05,48.0,2014-11-27 19:46:15.045953,,16
102,2638038,19,2001-09-25 19:46:15.045953,2003-12-24 00:00:00.000000,557,550,102,103.0,103.0,,,53.0,1999-12-09,309.0,2013-11-22 00:00:00.000000,,42
103,3677921,19,2003-12-25 00:00:00.000000,,554,549,103,,,,,7.0,1999-04-16,196.0,2016-03-21 00:00:00.000000,,42
104,2638038,2368,2001-09-25 19:46:15.045953,2003-12-24 00:00:00.000000,557,550,104,105.0,105.0,,,107.0,1996-12-01,,,2012-11-03 00:00:00.000000,1
105,3677921,2368,2003-12-25 00:00:00.000000,,554,549,105,,,,,263.0,1991-03-25,29.0,2004-09-30 00:00:00.000000,,17
106,2638038,2968,2001-09-25 19:46:15.045953,2003-12-24 00:00:00.000000,557,550,106,107.0,107.0,,,151.0,1994-09-27,,,,25
107,3677921,2968,2003-12-25 00:00:00.000000,,554,549,107,,,,,4.0,1996-06-29,,,,32
108,3133465,4860,2001-09-25 19:46:15.045953,2013-06-16 19:46:15.045953,557,550,108,,,,,142.0,1998-07-12,334.0,2019-09-21 19:46:15.045953,,41
109,3045265,3458,2002-03-18 19:46:15.045953,2005-11-20 00:00:00.000000,557,550,109,110.0,110.0,,,158.0,1997-04-01,,,,48
110,3341169,3458,2005-11-21 00:00:00.000000,2014-10-17 00:00:00.000000,557,550,110,111.0,111.0,,,302.0,1993-05-21,243.0,2018-03-10 00:00:00.000000,,42
111,2615839,3458,2014-10-18 00:00:00.000000,2024-12-21 19:46:15.045953,557,550,111,,,,,277.0,2002-04-28,,,,20
112,2123280,3679,1990-11-05 00:00:00.000000,2024-12-21 19:46:15.045953,557,550,112,,,,,93.0,1990-06-30,,,,40
113,3045265,20,2002-03-18 19:46:15.045953,2005-11-20 00:00:00.000000,557,550,113,114.0,114.0,,,281.0,1993-11-08,,,,39
114,3341169,20,2005-11-21 00:00:00.000000,2014-10-17 00:00:00.000000,557,550,114,115.0,115.0,,,345.0,2005-06-20,92.0,2015-12-24 00:00:00.000000,,9
115,2615839,20,2014-10-18 00:00:00.000000,2024-12-21 19:46:15.045953,557,550,115,,,,,99.0,2000-11-30,,,,8
116,2123280,458,1990-11-05 00:00:00.000000,2024-12-21 19:46:15.045953,557,550,116,,,,,146.0,1990-07-25,,,,40
117,2123280,646,1990-11-05 00:00:00.000000,2024-12-21 19:46:15.045953,557,550,117,,,,,265.0,1990-07-22,,,,7
118,2123280,1648,1990-11-05 00:00:00.000000,2024-12-21 19:46:15.045953,557,550,118,,,,,247.0,1990-06-23,,,,16
119,3045265,1764,2002-03-18 19:46:15.045953,2005-11-20 00:00:00.000000,557,550,119,120.0,120.0,,,147.0,1993-10-09,216.0,2017-04-28 00:00:00.000000,2020-02-02 00:00:00.000000,17
120,3341169,1764,2005-11-21 00:00:00.000000,2014-10-17 00:00:00.000000,557,550,120,121.0,121.0,,,161.0,1994-05-08,308.0,2016-06-12 00:00:00.000000,,13
121,2615839,1764,2014-10-18 00:00:00.000000,2024-12-21 19:46:15.045953,557,550,121,,,,,286.0,2000-08-07,,,,22
122,2123280,1786,1990-11-05 00:00:00.000000,2024-12-21 19:46:15.045953,557,550,122,,,,,94.0,1990-05-12,,,,16
123,3045265,2132,2002-03-18 19:46:15.045953,2005-11-20 00:00:00.000000,557,550,123,124.0,124.0,,,168.0,1993-06-06,,,,32
124,3341169,2132,2005-11-21 00:00:00.000000,2014-10-17 00:00:00.000000,557,550,124,125.0,125.0,,,1.0,1993-12-22,,,,6
125,2615839,2132,2014-10-18 00:00:00.000000,2024-12-21 19:46:15.045953,557,550,125,,,,,293.0,2010-10-24,,,,1
126,2123280,2787,1990-11-05 00:00:00.000000,2024-12-21 19:46:15.045953,557,550,126,,,,,248.0,1990-10-24,,,,48
127,3045265,4184,2002-03-18 19:46:15.045953,2005-11-20 00:00:00.000000,557,550,127,128.0,128.0,,,87.0,1996-12-17,31.0,2014-02-26 00:00:00.000000,,31
128,3341169,4184,2005-11-21 00:00:00.000000,2014-10-17 00:00:00.000000,557,550,128,129.0,129.0,,,58.0,1996-06-09,,,2015-10-21 00:00:00.000000,34
129,2615839,4184,2014-10-18 00:00:00.000000,2024-12-21 19:46:15.045953,557,550,129,,,,,280.0,2012-09-29,,,,31
130,2123280,4709,1990-11-05 00:00:00.000000,2024-12-21 19:46:15.045953,557,550,130,,,,,80.0,1990-10-25,,,,28
131,293639,3335,1991-11-05 00:00:00.000000,2017-06-27 00:00:00.000000,557,550,131,132.0,132.0,,,3.0,1990-10-17,,,,42
132,3575980,3335,2017-06-28 00:00:00.000000,,554,549,132,,,,,38.0,2016-10-26,272.0,2020-05-10 00:00:00.000000,,9
133,3575980,4568,2017-02-21 00:00:00.000000,,554,549,133,,,,,310.0,2015-01-11,,,,45
134,293639,21,1991-11-05 00:00:00.000000,2017-06-27 00:00:00.000000,557,550,134,135.0,135.0,,,86.0,1990-12-18,188.0,2018-06-15 00:00:00.000000,,42
135,3575980,21,2017-06-28 00:00:00.000000,,554,549,135,,,,,32.0,1991-10-04,74.0,2011-05-24 00:00:00.000000,,18
136,293639,2862,1991-11-05 00:00:00.000000,2017-06-27 00:00:00.000000,557,550,136,137.0,137.0,,,169.0,1991-03-26,,,,32
137,3575980,2862,2017-06-28 00:00:00.000000,,554,549,137,,,,,284.0,2006-04-29,,,,43
138,3575980,3665,2017-02-21 00:00:00.000000,,554,549,138,,,,,156.0,2005-01-04,42.0,2007-02-17 00:00:00.000000,,37
139,293639,4875,1991-11-05 00:00:00.000000,2017-06-27 00:00:00.000000,557,550,139,140.0,140.0,,,139.0,1990-10-18,,,,15
140,3575980,4875,2017-06-28 00:00:00.000000,,554,549,140,,,,,141.0,2017-01-13,,,,50
141,2641807,23,1990-01-01 00:00:00.000000,1996-05-06 00:00:00.000000,557,550,141,142.0,142.0,,,34.0,1990-01-01,,,,2
142,235094,23,1996-05-07 00:00:00.000000,2010-04-06 00:00:00.000000,557,550,142,143.0,143.0,,,75.0,1990-12-14,110.0,2019-02-20 00:00:00.000000,,45
143,3073101,23,2010-04-07 00:00:00.000000,,554,549,143,,,,,257.0,1997-05-14,,,,30
144,3193452,4313,1990-01-01 00:00:00.000000,2020-09-29 00:00:00.000000,557,550,144,145.0,145.0,,,34.0,1990-01-01,330.0,2020-12-07 00:00:00.000000,,2
145,3166456,4313,2020-09-30 00:00:00.000000,2020-10-11 00:00:00.000000,557,550,145,146.0,146.0,,,190.0,2013-08-14,,,2020-11-23 00:00:00.000000,42
146,3551644,4313,2020-10-12 00:00:00.000000,,554,549,146,,,,,143.0,2017-09-21,276.0,2019-11-01 00:00:00.000000,,13
147,3193452,24,1990-01-01 00:00:00.000000,2020-09-29 00:00:00.000000,557,550,147,148.0,148.0,,,34.0,1990-01-01,86.0,2020-10-12 00:00:00.000000,2020-11-07 00:00:00.000000,2
148,3166456,24,2020-09-30 00:00:00.000000,2020-10-11 00:00:00.000000,557,550,148,149.0,149.0,,,220.0,2005-04-30,326.0,2020-11-08 00:00:00.000000,,24
149,3551644,24,2020-10-12 00:00:00.000000,,554,549,149,,,,,286.0,1996-03-03,129.0,2009-06-09 00:00:00.000000,,22
150,2165738,25,2019-03-31 19:46:15.045953,2025-04-24 19:46:15.045953,557,550,150,,,,,198.0,1991-12-17,,,,9
151,2165738,3016,2019-03-31 19:46:15.045953,2025-04-24 19:46:15.045953,557,550,151,,,,,222.0,2000-09-23,,,,39
152,2165738,908,2019-03-31 19:46:15.045953,2025-04-24 19:46:15.045953,557,550,152,,,,,87.0,2000-08-27,,,,31
153,2165738,2065,2019-03-31 19:46:15.045953,2025-04-24 19:46:15.045953,557,550,153,,,,,134.0,2017-05-22,,,,8
154,2165738,2727,2019-03-31 19:46:15.045953,2025-04-24 19:46:15.045953,557,550,154,,,,,91.0,2010-02-20,,,,46
155,3544686,1560,1998-09-15 00:00:00.000000,,554,549,155,,,,,169.0,1991-07-21,,,,32
156,3544686,26,1998-09-15 00:00:00.000000,,554,549,156,,,,,176.0,1994-04-14,,,,20
157,3544686,497,1998-09-15 00:00:00.000000,,554,549,157,,,,,104.0,1994-09-11,,,,42
158,3544686,704,1998-09-15 00:00:00.000000,,554,549,158,,,,,241.0,1992-03-28,,,,32
159,2916597,2525,1990-01-01 00:00:00.000000,,554,549,159,,,,,34.0,1990-01-01,,,,2
160,2916597,27,1990-01-01 00:00:00.000000,,554,549,160,,,,,34.0,1990-01-01,,,,2
161,3181333,28,1990-01-01 00:00:00.000000,2020-06-12 19:46:15.045953,557,550,161,,,,,34.0,1990-01-01,,,,2
162,3181333,1483,1990-01-01 00:00:00.000000,2020-06-12 19:46:15.045953,557,550,162,,,,,34.0,1990-01-01,,,,2
163,3122940,2584,1990-01-01 00:00:00.000000,,554,549,163,,,,,34.0,1990-01-01,,,,2
164,3122940,29,1990-01-01 00:00:00.000000,,554,549,164,,,,,34.0,1990-01-01,314.0,2012-07-08 00:00:00.000000,,2
165,3122940,3976,1990-01-01 00:00:00.000000,,554,549,165,,,,,34.0,1990-01-01,,,,2
166,2915685,4368,1999-10-17 19:46:15.045953,,554,549,166,,,,,190.0,1999-05-31,,,,42
167,2915685,30,1999-10-17 19:46:15.045953,,554,549,167,,,,,151.0,1992-07-08,87.0,1996-12-17 00:00:00.000000,,25
168,646484,31,1990-01-01 00:00:00.000000,1996-07-20 00:00:00.000000,557,550,168,169.0,169.0,,,34.0,1990-01-01,,,2017-09-28 00:00:00.000000,2
169,3490650,31,1996-07-21 00:00:00.000000,,554,549,169,,,,,309.0,1991-07-23,,,,25
170,2889453,32,1990-01-01 00:00:00.000000,2010-02-14 00:00:00.000000,557,550,170,171.0,171.0,,,34.0,1990-01-01,310.0,2012-07-16 00:00:00.000000,,2
171,3773951,32,2010-02-15 00:00:00.000000,,554,549,171,,,,,125.0,2008-09-23,195.0,2020-07-25 00:00:00.000000,,2
172,3078710,390,1990-01-01 00:00:00.000000,1994-12-27 00:00:00.000000,557,550,172,173.0,173.0,,,34.0,1990-01-01,297.0,2018-02-07 00:00:00.000000,,2
173,3092132,390,1994-12-28 00:00:00.000000,,554,549,173,,,,,213.0,1993-03-23,334.0,1999-08-31 00:00:00.000000,,6
174,3078710,33,1990-01-01 00:00:00.000000,1994-12-27 00:00:00.000000,557,550,174,175.0,175.0,,,34.0,1990-01-01,156.0,2015-06-29 00:00:00.000000,,2
175,3092132,33,1994-12-28 00:00:00.000000,,554,549,175,,,,,156.0,1990-05-09,258.0,2012-10-09 00:00:00.000000,,37
176,3078710,970,1990-01-01 00:00:00.000000,1994-12-27 00:00:00.000000,557,550,176,177.0,177.0,,,34.0,1990-01-01,293.0,2010-10-24 00:00:00.000000,,2
177,3092132,970,1994-12-28 00:00:00.000000,,554,549,177,,,,,143.0,1991-05-08,,,,13
178,2603797,34,1990-01-01 00:00:00.000000,2021-02-15 19:46:15.045953,557,550,178,,,,,34.0,1990-01-01,,,,2
179,2603797,468,1990-01-01 00:00:00.000000,2021-02-15 19:46:15.045953,557,550,179,,,,,34.0,1990-01-01,,,,2
180,2145459,35,1990-01-01 00:00:00.000000,2014-05-29 00:00:00.000000,557,550,180,181.0,181.0,,,34.0,1990-01-01,239.0,2016-07-29 00:00:00.000000,2019-09-05 00:00:00.000000,2
181,3198783,35,2014-05-30 00:00:00.000000,2020-02-07 00:00:00.000000,557,550,181,182.0,182.0,,,201.0,2006-09-30,302.0,2020-03-12 00:00:00.000000,,4
182,2744088,35,2020-02-08 00:00:00.000000,,554,549,182,,,,,345.0,2005-06-20,254.0,2020-03-15 00:00:00.000000,,9
183,3234263,36,1994-08-27 00:00:00.000000,2009-07-26 00:00:00.000000,557,550,183,184.0,184.0,,,190.0,1994-07-25,,,,42
184,3557259,36,2009-07-27 00:00:00.000000,,554,549,184,,,,,134.0,2005-05-10,,,,8
185,3557259,2880,2021-04-21 19:46:15.045953,,554,549,185,,,,,286.0,1998-03-06,,,,22
186,3557259,830,2021-04-21 19:46:15.045953,,554,549,186,,,,,116.0,2021-03-12,,,,8
187,3557259,4695,2021-04-21 19:46:15.045953,,554,549,187,,,,,77.0,1992-10-30,,,,9
188,3584480,1393,1991-08-30 00:00:00.000000,2025-04-17 19:46:15.045953,557,550,188,,,,,189.0,1990-02-07,,,,1
189,3584480,3276,2021-05-21 19:46:15.045953,2025-04-17 19:46:15.045953,557,550,189,,,,,271.0,1992-02-23,,,,25
190,3584480,37,1991-08-30 00:00:00.000000,2023-07-27 19:46:15.045953,557,550,190,,,,,342.0,1991-06-12,,,,2
191,3584480,1322,1991-08-30 00:00:00.000000,2025-04-17 19:46:15.045953,557,550,191,,,,,208.0,1991-07-11,,,,2
192,3584480,1715,1991-08-30 00:00:00.000000,2025-04-17 19:46:15.045953,557,550,192,,,,,74.0,1990-07-15,,,,28
193,3584480,3585,2021-05-21 19:46:15.045953,2025-04-17 19:46:15.045953,557,550,193,,,,,242.0,2004-11-21,,,,4
194,3584480,3761,2021-05-21 19:46:15.045953,2025-04-17 19:46:15.045953,557,550,194,,,,,170.0,2006-07-05,,,,30
195,3020707,38,1998-11-06 19:46:15.045953,2009-09-22 00:00:00.000000,557,550,195,196.0,196.0,,,166.0,1993-10-20,125.0,2020-11-18 00:00:00.000000,,34
196,2563966,38,2009-09-23 00:00:00.000000,,554,549,196,,,,,70.0,1998-03-29,,,,28
