KodID,IsID,KdIDRiik,KodKehtibAlates,KodKehtibKuni,DokIDAlguseAlus,DokIDLopuAlus,KdIDStaatus,IAsIDLooja,IAsIDMuutja,LoodiKpv,MuudetiKpv,KustutatiKpv,AsID
53,53,260,2013-03-05 19:46:15.045953,2020-12-20 19:46:15.045953,8160,8161.0,550,217.0,180.0,1987-02-09,2020-12-20 19:46:15.045953,,19
54,54,100,2004-08-16 00:00:00.000000,2008-01-15 00:00:00.000000,8162,8163.0,550,248.0,25.0,1989-01-16,2008-01-15 00:00:00.000000,,48
55,55,100,2004-10-17 00:00:00.000000,,8164,,549,139.0,334.0,1977-04-02,2000-12-06 00:00:00.000000,,15
56,56,145,2005-11-17 19:46:15.045953,,8165,,549,90.0,,2004-09-23,,,19
57,57,100,1981-01-23 00:00:00.000000,,8166,,549,159.0,291.0,1972-09-13,2005-04-04 00:00:00.000000,,2
58,58,100,1956-10-02 00:00:00.000000,,8167,,549,41.0,265.0,1956-09-19,1968-12-10 00:00:00.000000,,46
59,59,100,2022-08-26 00:00:00.000000,,8168,,549,175.0,14.0,1986-03-15,2014-02-19 00:00:00.000000,,23
60,60,69,2018-07-17 19:46:15.045953,,8169,,549,13.0,,1963-01-01,,,24
61,61,100,2012-07-25 00:00:00.000000,2019-11-27 00:00:00.000000,8170,8171.0,550,189.0,236.0,1992-06-23,2019-11-27 00:00:00.000000,,1
62,62,100,2010-12-01 00:00:00.000000,,8172,,549,201.0,306.0,1964-11-03,2020-03-11 00:00:00.000000,,4
63,63,100,2009-02-04 00:00:00.000000,,8173,,549,214.0,251.0,1982-05-02,2013-06-20 00:00:00.000000,,14
64,64,100,1974-12-18 00:00:00.000000,,8174,,549,41.0,340.0,1961-06-27,1983-02-10 00:00:00.000000,,46
65,65,96,2001-07-20 19:46:15.045953,2015-08-09 19:46:15.045953,8175,8176.0,550,150.0,82.0,1950-05-18,2015-08-09 19:46:15.045953,,29
66,66,142,2005-08-14 19:46:15.045953,,8177,,549,156.0,212.0,1992-10-26,1997-04-15 00:00:00.000000,,37
67,67,100,2010-04-22 00:00:00.000000,,8178,,549,91.0,63.0,1983-04-03,2011-03-07 00:00:00.000000,,46
68,68,105,2017-07-06 19:46:15.045953,,8179,,549,325.0,110.0,1983-01-20,2023-09-05 00:00:00.000000,,33
69,69,46,1968-05-16 00:00:00.000000,,8180,,549,332.0,,1960-07-21,,,18
70,70,140,2018-01-13 19:46:15.045953,,8181,,549,231.0,327.0,2004-09-15,2011-11-16 00:00:00.000000,,23
71,71,100,1964-12-19 00:00:00.000000,1984-09-25 00:00:00.000000,8182,8183.0,550,115.0,218.0,1957-03-04,1984-09-25 00:00:00.000000,,34
72,72,100,1971-01-22 00:00:00.000000,,8184,,549,302.0,222.0,1955-08-20,1973-12-24 00:00:00.000000,,42
73,73,100,2001-01-15 00:00:00.000000,,8185,,549,194.0,300.0,1981-05-08,2007-03-11 00:00:00.000000,,45
74,74,100,1988-10-18 00:00:00.000000,,8186,,549,225.0,326.0,1964-08-14,1965-03-14 00:00:00.000000,,14
75,75,100,1994-01-13 00:00:00.000000,,8187,,549,309.0,198.0,1958-11-07,1959-12-15 00:00:00.000000,,25
76,76,140,2023-02-22 19:46:15.045953,,8188,,549,144.0,,2013-08-25,,,22
77,77,100,2019-03-13 00:00:00.000000,,8189,,549,310.0,333.0,1979-04-03,2006-08-07 00:00:00.000000,,45
78,78,100,2020-02-25 00:00:00.000000,2025-02-25 00:00:00.000000,8190,8191.0,550,6.0,254.0,1996-07-08,2025-02-25 00:00:00.000000,,4
79,79,125,2019-11-15 19:46:15.045953,,8192,,549,20.0,,2010-11-22,,,10
80,80,46,2012-10-19 19:46:15.045953,,8193,,549,97.0,,1982-10-10,,,42
81,81,100,2017-02-24 00:00:00.000000,,8194,,549,302.0,,1966-02-14,,,42
82,82,100,2017-03-18 00:00:00.000000,2022-01-03 00:00:00.000000,8195,8196.0,550,240.0,224.0,1990-07-14,2022-01-03 00:00:00.000000,,6
83,83,100,1964-02-09 00:00:00.000000,,8197,,549,265.0,,1958-02-06,,,7
84,84,100,2014-12-13 00:00:00.000000,,8198,,549,76.0,,1969-07-09,,,39
85,85,213,2021-10-31 19:46:15.045953,,8199,,549,78.0,,1981-08-02,,,43
86,86,100,1962-03-11 00:00:00.000000,1980-05-22 00:00:00.000000,8200,8201.0,550,63.0,2.0,1959-05-18,1980-05-22 00:00:00.000000,,20
87,87,100,2009-08-09 00:00:00.000000,,8202,,549,60.0,,1957-06-02,,,47
88,88,100,1983-06-28 00:00:00.000000,2000-02-02 00:00:00.000000,8203,8204.0,550,308.0,30.0,1950-11-26,2000-02-02 00:00:00.000000,,19
89,89,238,2024-06-26 19:46:15.045953,,8205,,549,227.0,,2007-01-19,,,13
90,90,65,2024-03-31 19:46:15.045953,,8206,,549,252.0,,1976-12-24,,,12
91,91,43,2022-03-26 19:46:15.045953,,8207,,549,298.0,113.0,1989-10-26,2006-11-07 00:00:00.000000,,7
92,92,273,2021-08-24 19:46:15.045953,,8208,,549,188.0,,2012-08-13,,,44
93,93,100,1987-10-23 00:00:00.000000,,8209,,549,38.0,249.0,1959-06-28,1998-12-04 00:00:00.000000,,9
94,94,100,2002-12-10 00:00:00.000000,,8210,,549,109.0,43.0,2002-09-27,2004-02-17 00:00:00.000000,,6
95,95,229,2025-04-23 19:46:15.045953,,8211,,549,301.0,,2022-07-24,,,47
96,96,118,2025-01-30 19:46:15.045953,2025-04-14 19:46:15.045953,8212,8213.0,550,278.0,233.0,1995-05-21,2025-04-14 19:46:15.045953,,34
97,97,100,1956-10-01 00:00:00.000000,,8214,,549,25.0,,1951-12-22,,,7
98,98,265,2006-12-19 19:46:15.045953,,8215,,549,62.0,,2004-11-18,,,4
99,99,100,1990-08-19 00:00:00.000000,,8216,,549,302.0,,1980-11-10,,,42
100,100,140,2024-12-16 19:46:15.045953,,8217,,549,32.0,185.0,1993-08-31,2006-08-04 00:00:00.000000,,18
101,101,100,1979-10-20 00:00:00.000000,2009-03-13 00:00:00.000000,8218,8219.0,550,98.0,80.0,1955-02-08,2009-03-13 00:00:00.000000,,22
102,102,100,1963-11-17 00:00:00.000000,2012-06-20 00:00:00.000000,8220,8221.0,550,218.0,239.0,1953-10-16,2012-06-20 00:00:00.000000,,13
103,103,100,2008-12-04 00:00:00.000000,,8222,,549,326.0,,1968-06-09,,,16
104,104,268,2000-03-12 19:46:15.045953,,8223,,549,210.0,151.0,1974-02-12,2024-11-15 00:00:00.000000,,6
105,105,100,2011-08-27 00:00:00.000000,2023-04-07 00:00:00.000000,8224,8225.0,550,236.0,162.0,1984-09-08,2023-04-07 00:00:00.000000,,23
106,106,100,1956-09-29 00:00:00.000000,,8226,,549,115.0,,1956-04-08,,,34
107,107,100,1953-12-24 00:00:00.000000,,8227,,549,116.0,,1952-06-04,,,8
108,108,100,1968-02-28 00:00:00.000000,,8228,,549,205.0,267.0,1963-07-29,1966-11-20 00:00:00.000000,,9
109,109,100,1984-06-24 00:00:00.000000,,8229,,549,98.0,242.0,1979-07-09,1993-02-24 00:00:00.000000,,22
110,110,100,2005-04-18 00:00:00.000000,2008-07-24 00:00:00.000000,8230,8231.0,550,181.0,22.0,1962-08-22,2008-07-24 00:00:00.000000,,28
111,111,100,1996-04-27 00:00:00.000000,2004-08-22 00:00:00.000000,8232,8233.0,550,205.0,63.0,1983-11-20,2004-08-22 00:00:00.000000,,9
112,112,82,2014-09-22 19:46:15.045953,,8234,,549,243.0,,2012-11-24,,,36
113,113,100,2017-04-21 00:00:00.000000,,8235,,549,116.0,,1955-02-19,,,8
114,114,158,2025-02-01 19:46:15.045953,,8236,,549,252.0,,1951-02-13,,,12
115,115,40,2019-06-10 19:46:15.045953,,8237,,549,325.0,214.0,1965-10-22,2017-12-15 00:00:00.000000,,33
116,116,100,1984-05-22 00:00:00.000000,,8238,,549,151.0,266.0,1977-07-09,2006-02-23 00:00:00.000000,,25
117,117,100,1965-01-30 00:00:00.000000,,8239,,549,342.0,,1962-04-09,,,2
118,118,59,1998-05-06 19:46:15.045953,,8240,,549,182.0,,1996-02-25,,,20
119,119,100,1984-05-31 00:00:00.000000,1987-06-28 00:00:00.000000,8241,8242.0,550,74.0,255.0,1984-03-16,1987-06-28 00:00:00.000000,,28
120,120,100,1950-04-29 00:00:00.000000,2003-10-12 00:00:00.000000,8243,8244.0,550,185.0,296.0,1950-02-28,2003-10-12 00:00:00.000000,,22
121,121,100,1968-05-01 00:00:00.000000,,8245,,549,55.0,68.0,1965-10-16,2002-12-06 00:00:00.000000,,35
122,122,140,2024-08-22 19:46:15.045953,,8246,,549,106.0,176.0,1952-08-19,2002-09-22 00:00:00.000000,,50
123,123,100,2009-06-03 00:00:00.000000,,8247,,549,302.0,,1995-05-12,,,42
124,124,100,1974-05-27 00:00:00.000000,,8248,,549,153.0,207.0,1959-05-25,1969-07-11 00:00:00.000000,,30
125,125,100,1967-10-20 00:00:00.000000,,8249,,549,325.0,,1953-11-24,,,33
126,126,103,2024-10-17 19:46:15.045953,,8250,,549,161.0,,1994-05-08,,,13
127,127,100,1969-01-21 00:00:00.000000,,8251,,549,335.0,94.0,1962-07-16,1969-01-20 00:00:00.000000,,50
128,128,100,2014-02-26 00:00:00.000000,2024-06-30 00:00:00.000000,8252,8253.0,550,134.0,190.0,2002-09-10,2024-06-30 00:00:00.000000,,8
129,129,45,2015-06-29 19:46:15.045953,,8254,,549,154.0,89.0,1970-11-24,1992-06-27 00:00:00.000000,,41
130,130,100,1954-03-09 00:00:00.000000,,8255,,549,257.0,,1953-04-25,,,30
131,131,100,1993-10-19 00:00:00.000000,,8256,,549,266.0,340.0,1964-10-11,1988-03-25 00:00:00.000000,,6
132,132,214,2025-03-22 19:46:15.045953,,8257,,549,319.0,,1960-07-08,,,32
133,133,100,1952-12-15 00:00:00.000000,,8258,,549,28.0,,1950-05-15,,,13
134,134,100,1992-05-23 00:00:00.000000,,8259,,549,159.0,,1962-07-12,,,2
135,135,157,2024-09-25 19:46:15.045953,2025-01-01 19:46:15.045953,8260,8261.0,550,66.0,102.0,1959-05-27,2025-01-01 19:46:15.045953,,39
136,136,267,2025-02-15 19:46:15.045953,,8262,,549,139.0,217.0,1989-07-17,1992-02-10 00:00:00.000000,,15
137,137,71,2003-09-09 19:46:15.045953,2005-04-22 19:46:15.045953,8263,8264.0,550,311.0,153.0,1969-01-24,2005-04-22 19:46:15.045953,,10
138,138,100,1960-03-02 00:00:00.000000,,8265,,549,314.0,320.0,1955-01-09,1970-12-19 00:00:00.000000,,48
139,139,58,2017-02-25 19:46:15.045953,,8266,,549,176.0,241.0,1971-12-08,2000-03-02 00:00:00.000000,,20
140,140,100,1997-03-07 00:00:00.000000,,8267,,549,94.0,,1958-03-31,,,16
141,141,100,2004-10-26 00:00:00.000000,2009-09-21 00:00:00.000000,8268,8269.0,550,313.0,145.0,1964-12-17,2009-09-21 00:00:00.000000,2009-09-21 00:00:00.000000,22
142,142,100,1973-06-24 00:00:00.000000,,8270,,549,201.0,48.0,1955-03-22,1995-11-28 00:00:00.000000,,4
143,143,100,1965-01-09 00:00:00.000000,2015-11-03 00:00:00.000000,8271,8272.0,550,307.0,325.0,1958-11-21,2015-11-03 00:00:00.000000,,24
144,144,100,2001-07-26 00:00:00.000000,,8273,,549,109.0,,1980-11-15,,,6
145,145,162,1983-05-30 19:46:15.045953,,8274,,549,328.0,,1953-02-11,,,10
146,146,100,1966-03-24 00:00:00.000000,2001-11-02 00:00:00.000000,8275,8276.0,550,116.0,339.0,1957-04-07,2001-11-02 00:00:00.000000,,8
147,147,157,2021-02-19 19:46:15.045953,2024-10-16 19:46:15.045953,8277,8278.0,550,255.0,140.0,1964-01-03,2024-10-16 19:46:15.045953,2024-10-16 19:46:15.045953,36
148,148,100,1969-04-26 00:00:00.000000,,8279,,549,225.0,296.0,1964-11-10,1967-07-17 00:00:00.000000,,14
149,149,100,2000-10-01 00:00:00.000000,,8280,,549,130.0,298.0,2000-03-29,2014-03-23 00:00:00.000000,,7
150,150,100,1950-06-10 00:00:00.000000,,8281,,549,216.0,,1950-01-20,,,32
151,151,100,1984-10-28 00:00:00.000000,,8282,,549,126.0,,1977-08-21,,,34
152,152,100,1971-03-12 00:00:00.000000,,8283,,549,182.0,,1968-04-20,,,20
153,153,100,1994-06-10 00:00:00.000000,,8284,,549,147.0,149.0,1956-05-29,2013-03-05 00:00:00.000000,,17
154,154,100,2016-08-28 00:00:00.000000,,8285,,549,97.0,,1975-05-01,,,42
155,155,100,2001-04-06 00:00:00.000000,2010-06-11 00:00:00.000000,8286,8287.0,550,33.0,153.0,1999-06-21,2010-06-11 00:00:00.000000,,44
156,156,50,2023-10-03 19:46:15.045953,,8288,,549,102.0,333.0,1970-07-08,1972-12-16 00:00:00.000000,,42
157,157,100,1960-01-20 00:00:00.000000,,8289,,549,280.0,264.0,1954-07-06,1983-09-16 00:00:00.000000,,31
158,158,100,1956-02-14 00:00:00.000000,,8290,,549,9.0,,1950-05-27,,,2
159,159,100,1974-05-31 00:00:00.000000,,8291,,549,170.0,301.0,1966-12-13,1970-02-18 00:00:00.000000,,30
160,160,133,2013-11-10 19:46:15.045953,2021-06-09 19:46:15.045953,8292,8293.0,550,70.0,192.0,2009-09-16,2021-06-09 19:46:15.045953,,28
161,161,100,1969-11-09 00:00:00.000000,2022-12-09 00:00:00.000000,8294,8295.0,550,133.0,68.0,1964-09-30,2022-12-09 00:00:00.000000,,36
162,162,100,1968-03-19 00:00:00.000000,,8296,,549,224.0,,1951-03-28,,,40
163,163,100,2024-11-26 00:00:00.000000,,8297,,549,175.0,175.0,2024-03-13,2024-03-13 00:00:00.000000,,23
164,164,100,1992-11-11 00:00:00.000000,2001-11-25 00:00:00.000000,8298,8299.0,550,97.0,248.0,1963-11-18,2001-11-25 00:00:00.000000,,42
165,165,196,2021-11-01 19:46:15.045953,,8300,,549,167.0,273.0,2011-01-12,2016-05-02 00:00:00.000000,,20
166,166,131,2024-05-22 19:46:15.045953,,8301,,549,159.0,278.0,1954-06-23,2013-10-08 00:00:00.000000,,2
167,167,100,1996-06-04 00:00:00.000000,,8302,,549,47.0,146.0,1982-06-20,2009-08-09 00:00:00.000000,,31
168,168,100,1959-01-29 00:00:00.000000,,8303,,549,307.0,,1956-08-05,,,24
169,169,100,2013-01-11 00:00:00.000000,2019-09-21 00:00:00.000000,8304,8305.0,550,222.0,132.0,1951-01-18,2019-09-21 00:00:00.000000,,39
170,170,100,1962-09-15 00:00:00.000000,,8306,,549,13.0,223.0,1958-06-17,2022-06-16 00:00:00.000000,,24
171,171,100,1977-10-26 00:00:00.000000,,8307,,549,252.0,,1969-04-24,,,12
172,172,126,2023-08-23 19:46:15.045953,,8308,,549,81.0,,1985-02-09,,,19
173,173,100,2020-02-13 00:00:00.000000,,8309,,549,51.0,332.0,1951-08-06,2008-05-24 00:00:00.000000,,46
174,174,51,2024-10-27 19:46:15.045953,,8310,,549,320.0,78.0,1983-03-18,2015-05-09 00:00:00.000000,,25
175,175,100,2010-08-09 00:00:00.000000,,8311,,549,235.0,,1976-01-22,,,33
176,176,100,2007-09-03 00:00:00.000000,2018-12-06 00:00:00.000000,8312,8313.0,550,320.0,313.0,1964-06-22,2018-12-06 00:00:00.000000,,25
177,177,60,2024-11-11 19:46:15.045953,2025-01-04 19:46:15.045953,8314,8315.0,550,91.0,100.0,2003-08-19,2025-01-04 19:46:15.045953,,46
178,178,100,1958-07-08 00:00:00.000000,,8316,,549,198.0,80.0,1954-03-18,2001-01-24 00:00:00.000000,,9
179,179,100,1999-02-15 00:00:00.000000,,8317,,549,283.0,300.0,1950-08-17,2003-11-25 00:00:00.000000,,22
180,180,100,1960-01-22 00:00:00.000000,,8318,,549,307.0,205.0,1959-07-21,2000-07-01 00:00:00.000000,,24
181,181,100,1980-10-27 00:00:00.000000,,8319,,549,116.0,,1955-05-20,,,8
182,182,100,1964-06-28 00:00:00.000000,,8320,,549,328.0,15.0,1958-09-29,2015-08-15 00:00:00.000000,,10
183,183,100,1981-10-15 00:00:00.000000,,8321,,549,156.0,49.0,1950-12-09,1986-01-21 00:00:00.000000,,37
184,184,100,2008-02-03 00:00:00.000000,,8322,,549,176.0,,1964-04-23,,,20
185,185,100,1996-03-22 00:00:00.000000,,8323,,549,168.0,,1975-06-17,,,32
186,186,115,2024-06-27 19:46:15.045953,,8324,,549,316.0,,1981-01-08,,,6
187,187,242,2021-11-14 19:46:15.045953,,8325,,549,278.0,,2000-01-26,,,34
188,188,100,2020-05-22 00:00:00.000000,2020-05-29 00:00:00.000000,8326,8327.0,550,96.0,342.0,1964-10-09,2020-05-29 00:00:00.000000,,4
189,189,100,1999-11-09 00:00:00.000000,2001-03-12 00:00:00.000000,8328,8329.0,550,35.0,35.0,1993-08-13,2001-03-12 00:00:00.000000,,24
190,190,100,1984-05-27 00:00:00.000000,,8330,,549,297.0,323.0,1980-03-20,2014-01-01 00:00:00.000000,,20
191,191,100,2017-06-22 00:00:00.000000,2020-09-27 00:00:00.000000,8331,8332.0,550,34.0,270.0,1976-07-01,2020-09-27 00:00:00.000000,,2
192,192,110,2024-10-06 19:46:15.045953,,8333,,549,167.0,132.0,2013-10-05,2023-07-31 00:00:00.000000,,20
193,193,151,2024-10-06 19:46:15.045953,,8334,,549,162.0,126.0,1976-07-03,2003-02-10 00:00:00.000000,,24
194,194,182,2019-09-02 19:46:15.045953,,8335,,549,88.0,280.0,2002-01-28,2004-05-11 00:00:00.000000,,42
195,195,90,2017-07-30 19:46:15.045953,,8336,,549,23.0,,1963-01-09,,,45
196,196,100,1988-04-07 00:00:00.000000,,8337,,549,240.0,241.0,1982-04-01,1991-01-11 00:00:00.000000,,6
197,197,61,2022-05-12 19:46:15.045953,,8338,,549,313.0,312.0,1988-02-08,2024-07-02 00:00:00.000000,,22
198,198,100,1990-04-16 00:00:00.000000,2001-09-09 00:00:00.000000,8339,8340.0,550,302.0,278.0,1980-11-10,2001-09-09 00:00:00.000000,,42
199,199,100,2006-06-13 00:00:00.000000,2024-01-06 00:00:00.000000,8341,8342.0,550,147.0,279.0,1958-05-01,2024-01-06 00:00:00.000000,,17
200,200,100,2000-09-25 00:00:00.000000,,8343,,549,252.0,125.0,1996-09-18,1999-04-04 00:00:00.000000,,12
201,201,100,2007-11-12 00:00:00.000000,2023-10-13 00:00:00.000000,8344,8345.0,550,49.0,159.0,1996-10-15,2023-10-13 00:00:00.000000,,6
202,202,267,2024-08-11 19:46:15.045953,2024-11-20 19:46:15.045953,8346,8347.0,550,110.0,222.0,1989-08-25,2024-11-20 19:46:15.045953,,29
203,203,100,1989-06-12 00:00:00.000000,1992-02-07 00:00:00.000000,8348,8349.0,550,84.0,113.0,1963-04-06,1992-02-07 00:00:00.000000,,6
204,204,100,1951-02-22 00:00:00.000000,1966-05-17 00:00:00.000000,8350,8351.0,550,325.0,88.0,1950-03-27,1966-05-17 00:00:00.000000,,33
205,205,67,2006-06-01 19:46:15.045953,2023-01-29 19:46:15.045953,8352,8353.0,550,311.0,288.0,1957-03-15,2023-01-29 19:46:15.045953,,10
206,206,100,1987-10-17 00:00:00.000000,,8354,,549,182.0,,1958-05-14,,,20
207,207,100,2001-09-04 00:00:00.000000,,8355,,549,38.0,7.0,1981-01-29,1997-09-03 00:00:00.000000,,9
208,208,204,2022-06-24 19:46:15.045953,2024-08-27 19:46:15.045953,8356,8357.0,550,156.0,327.0,2010-11-30,2024-08-27 19:46:15.045953,,37
209,209,100,1990-04-18 00:00:00.000000,2024-11-22 00:00:00.000000,8358,8359.0,550,239.0,300.0,1977-07-18,2024-11-22 00:00:00.000000,,7
210,210,206,2024-12-17 19:46:15.045953,,8360,,549,266.0,222.0,1964-10-11,2019-10-28 00:00:00.000000,,6
211,211,100,1968-04-26 00:00:00.000000,,8361,,549,318.0,,1954-09-27,,,34
212,212,100,1986-06-08 00:00:00.000000,,8362,,549,332.0,210.0,1977-09-28,1992-06-02 00:00:00.000000,,18
213,213,100,2021-11-22 00:00:00.000000,,8363,,549,141.0,,2002-06-27,,,50
214,214,248,2002-12-06 19:46:15.045953,,8364,,549,125.0,262.0,1988-12-10,1991-09-03 00:00:00.000000,,2
215,215,100,2020-02-09 00:00:00.000000,,8365,,549,335.0,204.0,1984-05-04,2002-09-04 00:00:00.000000,,50
216,216,100,2025-01-24 00:00:00.000000,,8366,,549,113.0,338.0,1993-01-07,2008-12-20 00:00:00.000000,,34
217,217,100,1984-04-22 00:00:00.000000,,8367,,549,306.0,209.0,1957-08-10,1981-01-24 00:00:00.000000,,18
218,218,158,2025-04-15 19:46:15.045953,2025-04-25 19:46:15.045953,8368,8369.0,550,271.0,229.0,1981-09-01,2025-04-25 19:46:15.045953,,25
219,219,100,1977-06-05 00:00:00.000000,,8370,,549,97.0,,1961-02-12,,,42
220,220,100,2001-06-17 00:00:00.000000,2022-06-23 00:00:00.000000,8371,8372.0,550,156.0,257.0,2000-09-01,2022-06-23 00:00:00.000000,,37
221,221,38,2025-04-16 19:46:15.045953,,8373,,549,291.0,66.0,2002-01-17,2021-06-02 00:00:00.000000,,26
222,222,100,1960-09-30 00:00:00.000000,1991-08-22 00:00:00.000000,8374,8375.0,550,326.0,266.0,1950-02-03,1991-08-22 00:00:00.000000,,16
223,223,100,2018-08-10 00:00:00.000000,,8376,,549,80.0,,1959-08-10,,,28
224,224,100,1963-09-27 00:00:00.000000,,8377,,549,207.0,38.0,1957-03-25,1979-04-23 00:00:00.000000,,36
225,225,57,1985-07-24 19:46:15.045953,,8378,,549,319.0,,1980-03-03,,,32
